The calculated value of the integral 2,0667
method right rectangle
         n         h         S       ΔS
        10    0.0750    1.7619    0.3048
        20    0.0375    1.9102    0.1565
        40    0.0187    1.9874    0.0793
        80    0.0094    2.0268    0.0399
       160    0.0047    2.0467    0.0200
       320    0.0023    2.0567    0.0100
       640    0.0012    2.0617    0.0050
      1280    0.0006    2.0642    0.0025
      2560    0.0003    2.0654    0.0013
      5120    0.0001    2.0661    0.0006
     10240    0.0001    2.0664    0.0003
     20480    0.0000    2.0665    0.0002
     40960    0.0000    2.0666    0.0001
method left rectangle 
         n         h         S       ΔS
        10    0.0750    2.4048    0.3381
        20    0.0375    2.2316    0.1649
        40    0.0187    2.1481    0.0814
        80    0.0094    2.1071    0.0404
       160    0.0047    2.0869    0.0202
       320    0.0023    2.0768    0.0101
       640    0.0012    2.0717    0.0050
      1280    0.0006    2.0692    0.0025
      2560    0.0003    2.0680    0.0013
      5120    0.0001    2.0673    0.0006
     10240    0.0001    2.0670    0.0003
     20480    0.0000    2.0669    0.0002
     40960    0.0000    2.0668    0.0001
method middle rectangle
         n         h         S       ΔS
        10    0.0750    2.0584    0.0083
        20    0.0375    2.0646    0.0021
        40    0.0187    2.0662    0.0005
        80    0.0094    2.0666    0.0001
       160    0.0047    2.0667    0.0000
method trapeze
         n         h         S       ΔS
        10    0.0750    2.0833    0.0166
        20    0.0375    2.0709    0.0042
        40    0.0187    2.0677    0.0010
        80    0.0094    2.0670    0.0003
       160    0.0047    2.0668    0.0001
       320    0.0023    2.0667    0.0000
method Simpson
         n         h         S       ΔS
        10    0.0750    2.0667    0.0000
        20    0.0375    2.0667    0.0000
